aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_afname;voorspelde_capaciteit_afname;wachtrij_afname;unieke_verzoeken_afname;afname_beperking;afname_tso_limiet;aanwezige_transportcapaciteit_invoeding;benodigde_transportcapaciteit_invoeding;voorspelde_capaciteit_invoeding;wachtrij_invoeding;unieke_verzoeken_invoeding;opwek_beperking;opwek_tso_limiet;start;eind;jaar;kwartaal;info;congestiegebied;jaartal_opgelost_afname;jaartal_opgelost_invoeding;congestie_url
370,0;314,0;;20,0;;;;370,0;232,0;;;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;361,0;693,0;;1304,0;7,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
2282,0;2833,0;;2517,0;22,0;;;1611,0;2148,0;;1994,0;13,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;1110,0;689,0;;350,0;3,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
3000,0;3608,0;;1339,0;9,0;;;2613,0;3576,0;;1538,0;9,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
6000,0;3976,0;;2517,0;22,0;;;;;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
702,0;622,0;;930,0;5,0;;;376,0;518,0;;774,0;4,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
2319,0;2986,0;;910,0;7,0;;;;;;;;;;;;2031,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
3900,0;3287,0;;2517,0;22,0;;;2789,0;2052,0;;1994,0;13,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
805,0;807,0;;930,0;5,0;;;680,0;554,0;;774,0;4,0;;;;;2034,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;675,0;541,0;;350,0;3,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
