tennet_id;congestiegebied_afname;congestiegebied_opwek;afname;opwek
Station Groningen Hunze 110 kV;Groningen West;Groningen West;3;3
Station Groningen v. Heemskerkstraat 110;Groningen West;Groningen West;3;3
Station Haaksbergen 110 kV;Overijssel;Hengelo;3;3
Station Haarlemmermeer 150;Noord-Holland;Noord-Holland;3;0
Station Hapert 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Haps 150 kV;Limburg;Limburg;3;3
Station Harculo 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Hardenberg 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Harderwijk 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Harselaar 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Hattem 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Heerenveen 110;Friesland;Friesland;1;3
Station Helden 150 kV;Limburg;Limburg;3;3
Station Helmond Oost 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Helmond Zuid 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Hengelo Boldershoek 110 kV;Overijssel;Hengelo;3;3
Station Hengelo Oele 110 kV;Overijssel;Hengelo;3;3
Station Hengelo Weideweg 110 kV;Overijssel;Hengelo;3;3
Station Herbayum 110;Friesland;Friesland;1;3
Station Hoogeveen 110 kV;Drenthe;Drenthe;1;3
Station Amsterdam Hoogte Kadijk 150;Noord-Holland;Noord-Holland;3;0
Station Horst 150 kV;Limburg;Limburg;3;3
Station Huskensweg 150 kV;Limburg;Limburg;3;3
Station IJsselmuiden 110kV;Overijssel;Zwolle Hessenweg;3;3
Station Kampen 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Kattenberg 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Kelpen 150 kV;Limburg;Limburg;3;3
Station Klazienaveen Zwet 110kV;Drenthe;Drenthe;1;3
Station Krimpen a/d IJssel 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Kropswolde 110 kV;Groningen West;Groningen West;1;3
Station Kruiningen 150;Zeeland;Zeeland;3;0
Station Langerak 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Leeuwarden 110;Friesland;Friesland;1;3
Station Leiden 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
